"Actual","Predicted"
7264.007,7301.00234092593
9395.346,9340.39989438672
7235.542,7255.51528788951
6866.38,6942.49438886539
7165.679,7219.62001164938
6927.539,6907.13422674543
9405.058,9346.33541548974
7351.316,7331.39715360594
8641.51,8673.39337930738
7262.881,7276.85452622967
9460.461,9509.41482197237
7982.806,7958.78689257535
7865.593,7906.96074745839
9100.399,9049.27370569842
8702.152,8699.35485508408
9271.587,9296.5029188807
7846.146,7906.21476061503
9356.514,9329.674640198
9588.651,9552.29654644503
7972.068,7972.71893781012
7307.776,7287.92012392158
6861.048,6837.58814453946
6827.748,6835.01948733297
6963.76,6970.41452164917
9485.007,9511.80034982352
8718.749,8694.33709663106
7402.839,7354.3151217721
7291.217,7271.49340729067
9495.664,9522.08197633242
9514.979,9524.96655659261
7120.082,7054.71524915816
10082.348,10016.3583976243
9338.865,9315.97068146115
7929.038,7938.27650962724
7305.939,7287.45779420769
7305.868,7315.25668733056
7882.656,7917.65566696475
7927.184,7970.45591879954
7217.09,7263.65541173835
7345.448,7327.27836067638
9069.333,9026.1463338628
6960.952,6978.3230707363
7916.708,7928.91345764136
9522.052,9527.36611302629
7326.929,7310.17344020986
9036.229,9031.58094109405
7008.995,7009.20823209689
7901.866,7949.69820386781
9552.55,9542.33688934518
6942.94,6946.37449583297
6933.133,6893.89016150604
7950.175,7939.49593181272
7949.576,7948.18920564489
7057.426,6977.9667008429
9267.779,9282.65943656248
8625.92,8669.29658443834
8003.486,7975.18859599651
8726.133,8701.30105302822
7339.101,7284.94219213622
9471.39,9504.56543777726
9422.493,9494.92056513459
7212.517,7246.85075310341
8926.626,8982.56081836469
9396.256,9344.31763245414
6996.091,6958.54398186029
8586.13,8637.57542892665
6928.997,6974.19632601803
8694.803,8707.34085682906
8636.255,8672.88513061234
10058.09,10011.2430321812
9342.925,9318.57665248247
9305.618,9305.21705588439
6924.573,6880.65613393474
7253.463,7243.02610202977
8751.116,8719.65134667736
9948.838,9946.80706946892
9527.957,9528.25341234649
7202.216,7234.40985695282
8775.3,8729.68574220494
7987.237,7959.55472719862
9288.516,9300.84162572848
9949.171,9949.41565385103
7277.077,7252.57174703572
9402.644,9337.01849289767
8990.227,8990.85157297056
9419.03,9354.4311109163
10060.268,10008.8252163249
9250.172,9280.5796556336
9446.416,9495.4104889605
6816.845,6863.27172456329
7296.914,7256.20957151214
9947.994,9947.12256866336
7289.518,7303.49499413055
7861.138,7914.24921566034
9606.033,9568.49729418308
9866.925,9911.78734287925
6872.835,6929.1356733389
7279.267,7277.4030128756
8592.987,8644.83057652376
7983.241,7959.39506374212
9979.167,9957.16842106493
9400.75,9339.54238677603
9259.304,9271.53879148457
9891.076,9922.65406766667
6870.611,6885.70023392193
9313.431,9308.48441076287
9490.079,9512.76662356382
6912.759,6886.54584218702
8666.578,8677.66262432866
9023.331,9021.09687315552
7089.606,7038.06154618154
8786.362,8733.7497824786
9919.007,9939.75709216602
9983.861,9973.05239036308
8573.28,8637.84377852772
7297.498,7311.13426982941
7077.923,7049.96574651883
8991.136,8987.7766443024
9907.981,9931.62642453495
8588.914,8638.73011177875
6784.062,6818.66354972428
9592.844,9550.84972327792
6853.65,6845.95292013628
8052.947,8022.16724790073
9993.664,9968.81035501279
8599.387,8653.32851112181
8667.984,8679.14854672464
9055.022,9035.69871358927
7874.111,7902.68146462263
7102.866,7046.29514633799
8705.999,8687.81561638951
9420.331,9483.08752465528
10079.134,10014.3169631858
9564.245,9540.31408252204
7272.464,7267.17559986963
9890.133,9936.11647801132
7312.176,7284.93346460102
7274.233,7294.37645160905
8615.327,8664.28358731482
7967.17,7960.33543911659
8019.715,7978.98212864799
10005.219,9988.05089490155
6995.067,6994.40815423154
9559.876,9540.70431070612
8030.801,7985.33593929834
9309.348,9308.64456069677
9591.5,9553.22607385514
9239.094,9274.00164585797
9104.622,9044.36744251283
6997.468,6933.02917959506
6931.646,6975.06750343667
6942.296,6972.19855875324
6964.192,6990.26625006206
9045.091,9022.67803930382
8779.01,8728.3028640009
8973.455,8987.68121703634
7320.932,7307.8651408323
9439.566,9488.07856905749
9554.472,9540.42880087017
6883.378,6923.63327731532
8608.473,8653.56172369716
6945.953,6913.79858228126
7977.813,7973.80398019743
8019.788,7974.38284235329
9914.105,9947.97591212268
6905.77,6870.30512728772
9565.082,9552.42000160633
8639.309,8673.55867023406
9027.762,9018.25969488037
8590.504,8645.22156678018
8910.371,8959.9787384143
9908.989,9935.46929042691
8973.064,8981.14109160769
8056.158,8013.00517496345
8763.773,8717.71663442155
7945.105,7949.15519490225
9012.853,9014.72587330255
6865.566,6917.29726105829
7114.133,7068.40880262652
9934.939,9942.03970770437
9906.013,9930.87187351442
7120.418,7075.20241030624
7296.4,7312.40524806518
6840.427,6859.66622064702
7050.585,7039.99545122491
10030.382,9983.51676217731
6923.833,6918.21577773976
7322.689,7329.48659370468
9571.759,9539.90485727848
9933.242,9942.48677395454
8960.355,8994.11477821305
8927.744,8975.85897479546
10033.916,9996.04458808631
7359.945,7324.18711166822
6798.021,6852.0340658289
9391.854,9340.51469596076
10033.091,9970.92950422727
9365.64,9329.59012265995
9424.948,9481.53315578949
7291.328,7295.23419551663
8992.744,9001.68806620658
6915.375,6914.55260202739
9856.461,9897.97881814166
6895.16,6946.79850797663
6961.085,6924.49348267212
7054.959,7039.21048846812
9921.187,9943.48795691043
6866.554,6901.4739924218
8096.025,8029.1747831157
7907.642,7939.10600619618
7965.791,7974.84755938359
8923.258,8962.31751982742
6979.949,6988.01747937649
7161.277,7223.83892414658
6785.933,6837.48069738839
6806.412,6835.2465567252
8724.652,8715.15554545816
8786.865,8731.02204016367
9086.4,9046.44821179702
9076.997,9039.32981068042
9901.923,9935.12270425139
6961.163,6979.42338304984
7089.162,7058.62986932312
9877.701,9924.06551815211
7342.663,7336.24298168587
9560.252,9542.33995917289
8730.034,8711.96592094619
9434.083,9495.33519066105
8672.282,8690.41191860959
9359.398,9324.24957859998
7399.569,7353.4554216817
6760.014,6833.28214470113
9078.779,9035.44505509255
7393.204,7353.95854152589
7255.388,7256.64969332147
7020.173,7031.85910632637
9422.523,9358.56521867589
6931.561,6952.02560325625
9477.488,9518.68064130893
9064.716,9032.37213564731
9471.588,9510.89118071236
9040.969,9027.73788774703
10067.621,10007.2735804068
7325.203,7322.22772630315
8969,8992.89046276656
9856.561,9907.76465410443
7046.293,7036.71740936179
9349.522,9332.51647119741
7973.329,7980.38628252
9463.175,9509.44202535505
8953.42,8992.70125432955
6963.635,6976.27030129614
10054.401,10003.1117372381
9085.025,9035.60285387667
6822.719,6865.36008721707
9972.976,9966.93522703817
6914.836,6950.04733012837
10010.51,9973.00300497286
7214.576,7246.81110108237
8727.458,8708.60980954151
6864.151,6846.67218448039
7961.743,7976.75922182152
6970.424,6990.58240684418
9882.805,9922.76058870792
7200.03,7246.71620815989
9034.771,9018.9019848938
6855.084,6873.53844121242
7251.998,7275.89842466052
7969.355,7945.29189091541
8584.213,8641.16242064612
9264.424,9291.03473577622
7374.853,7338.90941764929
8920.546,8975.35386225842
8936.341,8972.63901904132
9890.689,9922.11304114973
6987.025,6992.81046821309
7290.407,7299.29272482854
7137.35,7086.7880245782
6851.13,6871.57285953561
10074.692,10009.8345352859
8965.682,8992.63536612599
9584.432,9557.93037981243
7229.723,7251.8336556705
8599.25,8653.08682541228
9065.102,9026.29979998913
9286.269,9296.72121511277
8996.657,9013.89776605015
6931.718,6971.24992935331
8005.985,7992.91872837237
10001.729,9972.07415236117
8953.23,8988.96651119115
7979.872,7962.95250696634
9418.059,9352.11011744485
7361.71,7331.83241129044
7042.89,7003.83461698041
7941.589,7938.300678114
8731.538,8723.97819533735
9233.991,9278.76322427073
6761.822,6808.62590465988
9022.964,9026.05756160246
6960.637,6922.61336239098
7400.435,7350.38323491716
9518.62,9528.95242833357
6862.654,6874.66611009539
8008.253,7981.05306624208
7124.435,7068.51033710149
8997.972,9000.20444629616
9034.303,9018.46248986958
